Verse Reference,Bible Gateway Link (Chapter),bbe,web,ylt
Mark 7:34-35,Mark7:34-35,"And looking up to heaven, he took a deep breath, and said to him, Ephphatha, that is, Be open.And his ears became open, and the band of his tongue was made loose, and his words became clear.","Looking up to heaven, he sighed, and said to him,
“Ephphatha!”
 that is,
“Be opened!”
Immediately his ears were opened, and the impediment of his tongue was released, and he spoke clearly.","and having looked to the heaven, he sighed, and said to him, 'Ephphasa,' that is, 'Be you opened;'and immediately were his ears opened, and the string of his tongue was loosed, and he was speaking plain."
Mark 8:23,Mark8:23,"And he took the blind man by the hand, and went with him out of the town; and when he had put water from his mouth on his eyes, and put his hands on him, he said, Do you see anything?","He took hold of the blind man by the hand, and brought him out of the village. When he had spat on his eyes, and laid his hands on him, he asked him if he saw anything.","and having taken the hand of the blind man, he led him forth without the village, and having spit on his eyes, having put his hands on him, he was questioning him if he does behold anything:"
Mark 8:25,Mark8:25,"Then again he put his hands on his eyes; and looking hard, he was able to see, and saw all things clearly.","Then again he laid his hands on his eyes. He looked intently, and was restored, and saw everyone clearly.","Afterwards again he put his hands on his eyes, and made him look up, and he was restored, and discerned all things clearly,"
Mark 9:12,Mark9:12,"And he said to them, Truly, Elijah does come first, and puts all things in order; and how is it said in the Writings that the Son of man will go through much sorrow and be made as nothing?","He said to them,
“Elijah indeed comes first, and restores all things. How is it written about the Son of Man, that he should suffer many things and be despised?","And he answering said to them, 'Elijah indeed, having come first, does restore all things; and how has it been written concerning the Son of Man, that many things he may suffer, and be set at nought?"
Mark 9:27,Mark9:27,"But Jesus took him by the hand, lifting him up; and he got up.","But Jesus took him by the hand, and raised him up; and he arose.","but Jesus, having taken him by the hand, lifted him up, and he arose."
Mark 10:51,Mark10:51,"And Jesus said to him, What would you have me do to you? And the blind man said, Master, make me able to see.","Jesus asked him,
“What do you want me to do for you?”
The blind man said to him, “Rabboni, that I may see again.”","And answering, Jesus said to him, 'What will you I may do to you?' and the blind man said to him, 'Rabboni, that I may see again;'"
Mark 10:52,Mark10:52,"And Jesus said to him, Go on your way; your faith has made you well. And straight away he was able to see, and went after him in the way.","Jesus said to him,
“Go your way. Your faith has made you well.”
 Immediately he received his sight, and followed Jesus on the way.","and Jesus said to him, 'Go, your faith has saved you:' and immediately he saw again, and was following Jesus in the way."
Luke 4:18,Luke4:18,"The Spirit of the Lord is on me, because I am marked out by him to give good news to the poor; he has sent me to make well those who are broken-hearted; to say that the prisoners will be let go, and the blind will see, and to make the wounded free from their chains,","“The Spirit of the Lord is on me,
because he has anointed me to preach good news to the poor.
He has sent me to heal the broken hearted,
to proclaim release to the captives,
recovering of sight to the blind,
to deliver those who are crushed,","'The Spirit of the Lord
        is upon me, Because He did anoint me; To proclaim good news to the poor, Sent me to heal the broken of heart, To proclaim to captives deliverance, And to blind receiving of sight, To send away the bruised with deliverance,"
Luke 4:23,Luke4:23,"And he said to them, Without doubt you will say to me, Let the medical man make himself well: the things which to our knowledge were done at Capernaum, do them here in your country.","He said to them,
“Doubtless you will tell me this parable, ‘Physician, heal yourself! Whatever we have heard done at Capernaum, do also here in your hometown.’”","And he said unto them, 'Certainly you will say to me this simile, Physician, heal yourself; as great things as we heard done in Capernaum, do also here in your country;'"
Luke 4:27,Luke4:27,"And there were a number of lepers in Israel in the time of Elisha the prophet, and not one of them was made clean, but only Naaman the Syrian.","There were many lepers in Israel in the time of Elisha the prophet, yet not one of them was cleansed, except Naaman, the Syrian.”","and many lepers were in the time of Elisha the prophet, in Israel, and none of them was cleansed, but -- Naaman the Syrian.'"
Luke 4:40,Luke4:40,"And at sundown all those who had anyone ill with any sort of disease, took them to him, and he put his hands on every one of them and made them well.","When the sun was setting, all those who had any sick with various diseases brought them to him; and he laid his hands on every one of them, and healed them.","And at the setting of the sun, all, as many as had any ailing with manifold sicknesses, brought them unto him, and he on each one of them his hands having put, did heal them."
Luke 5:12,Luke5:12,"And it came about that while he was in one of the towns, there was a leper there: and when he saw Jesus he went down on his face in prayer to him, saying, Lord, if it is your pleasure, you have power to make me clean.","While he was in one of the cities, behold, there was a man full of leprosy. When he saw Jesus, he fell on his face, and begged him, saying, “Lord, if you want to, you can make me clean.”","And it came to pass, in his being in one of the cities, that lo, a man full of leprosy, and having seen Jesus, having fallen on his face, he besought him, saying, 'Sir, if you may will, you are able to cleanse me;'"
Luke 5:13,Luke5:13,"And he put out his hand to him and said, It is my pleasure; be clean. And straight away his disease went from him.","He stretched out his hand, and touched him, saying,
“I want to. Be made clean.”
Immediately the leprosy left him.","and having stretched forth his hand, he touched him, having said, 'I will; be you cleansed;' and immediately the leprosy went away from him."
Luke 5:15,Luke5:15,"But news of him went out all the more, in every direction, and great numbers of people came together to give hearing to his words and to be made well from their diseases.","But the report concerning him spread much more, and great multitudes came together to hear, and to be healed by him of their infirmities.","but the more was the report going abroad concerning him, and great multitudes were coming together to hear, and to be healed by him of their infirmities,"
Luke 5:17,Luke5:17,"And it came about that on one of these days he was teaching; and some Pharisees and teachers of the law were seated there, who had come from every town of Galilee and Judaea and from Jerusalem; and the power of the Lord was with him, to make those who were ill free from their diseases.","On one of those days, he was teaching; and there were Pharisees and teachers of the law sitting by, who had come out of every village of Galilee, Judea, and Jerusalem. The power of the Lord was with him to heal them.","And it came to pass, on one of the days, that he was teaching, and there were sitting by Pharisees and teachers of the Law, who were come out of every village of Galilee, and Judea, and Jerusalem, and the power of the Lord was -- to heal them."
Luke 5:18,Luke5:18,"And some men had with them, on a bed, a man who was ill, without power of moving; and they made attempts to get him in and put him before Jesus.","Behold, men brought a paralyzed man on a cot, and they sought to bring him in to lay before Jesus.","And lo, men bearing upon a couch a man, who has been struck with palsy, and they were seeking to bring him in, and to place before him,"
Luke 5:31,Luke5:31,"And Jesus, answering, said to them, Those who are well have no need of a medical man, but those who are ill.","Jesus answered them,
“Those who are healthy have no need for a physician, but those who are sick do.","And Jesus answering said unto them, 'They who are well have no need of a physician, but they that are ill:"
Luke 7:7,Luke7:7,"And I had the feeling that I was not even good enough to come to you: but say the word only, and my servant will be well.","Therefore I didn’t even think myself worthy to come to you; but say the word, and my servant will be healed.","wherefore not even myself thought I worthy to come unto you, but say in a word, and my lad shall be healed;"
Luke 7:10,Luke7:10,And when those who were sent came back to the house they saw that the servant was well.,"Those who were sent, returning to the house, found that the servant who had been sick was well.","and those sent, having turned back to the house, found the ailing servant in health."
Luke 7:14,Luke7:14,"And he came near, and put his hand on the stretcher where the dead man was: and those who were moving it came to a stop. And he said, Young man, I say to you, Get up.","He came near and touched the coffin, and the bearers stood still. He said,
“Young man, I tell you, arise!”","and having come near, he touched the bier, and those bearing it stood still, and he said, 'Young man, to you I say, Arise;'"
Luke 7:21,Luke7:21,"At that time, he made a number of people free from their diseases and their pains, and from evil spirits; and to others who were blind he gave back the use of their eyes.",In that hour he cured many of diseases and plagues and evil spirits; and to many who were blind he gave sight.,"And in that hour he cured many from sicknesses, and plagues, and evil spirits, and to many blind he granted sight."
Luke 7:22,Luke7:22,"And answering them he said, Go back and give news to John of what you have seen, and the things which have come to your ears; the blind now see, those who had no power in their legs are walking, lepers are made clean, those who had no hearing now have their ears open, dead men come to life again, and the poor have the good news given to them.","Jesus answered them,
“Go and tell John the things which you have seen and heard: that the blind receive their sight, the lame walk, the lepers are cleansed, the deaf hear, the dead are raised up, and the poor have good news preached to them.","And Jesus answering said to them, 'Having gone on, report to John what you saw and heard, that blind men do see again, lame do walk, lepers are cleansed, deaf do hear, dead are raised, poor have good news proclaimed;"
Luke 7:50,Luke7:50,"And he said to the woman, By your faith you have salvation; go in peace.","He said to the woman,
“Your faith has saved you. Go in peace.”","and he said unto the woman, 'Your faith have saved you, be going on to peace.'"
Luke 8:36,Luke8:36,And those who had seen it gave them an account of how the man who had the evil spirits was made well.,Those who saw it told them how he who had been possessed by demons was healed.,"and those also having seen it, told them how the demoniac was saved."
Luke 8:47,Luke8:47,"And when the woman saw that she was not able to keep it secret, she came, shaking with fear, and falling down before him she made clear before all the people the reason for her touching him, and how she was made well straight away.","When the woman saw that she was not hidden, she came trembling, and falling down before him declared to him in the presence of all the people the reason why she had touched him, and how she was healed immediately.","And the woman, having seen that she was not hid, trembling, came, and having fallen before him, for what cause she touched him declared to him before all the people, and how she was healed presently;"
Luke 8:48,Luke8:48,"And he said to her, Daughter, your faith has made you well; go in peace.","He said to her,
“Daughter, cheer up. Your faith has made you well. Go in peace.”","and he said to her, 'Take courage, daughter, your faith has saved you, be going on to peace.'"
Luke 8:50,Luke8:50,"But Jesus at these words said to him, Have no fear, only have faith, and she will be made well.","But Jesus hearing it, answered him,
“Don’t be afraid. Only believe, and she will be healed.”","and Jesus having heard, answered him, saying, 'Be not afraid, only believe, and she shall be saved.'"
Luke 8:54,Luke8:54,"But he, taking her hand, said to her, My child, get up.","But he put them all outside, and taking her by the hand, he called, saying,
“Child, arise!”","and he having put all forth without, and having taken hold of her hand, called, saying, 'Child, arise;'"
Luke 9:1,Luke9:1,"And getting the twelve together, he gave them power and authority over all evil spirits and over diseases, to make them well.","He called the twelve together, and gave them power and authority over all demons, and to cure diseases.","And having called together his twelve disciples, he gave them power and authority over all the demons, and to cure sicknesses,"
Luke 9:2,Luke9:2,"And he sent them out to be preachers of the kingdom of God, and to make well those who were ill.",He sent them out to preach God’s Kingdom and to heal the sick.,"and he sent them to proclaim the reign of God, and to heal the ailing."
Luke 9:6,Luke9:6,"And they went away, journeying through all the towns, preaching the good news and making people free from diseases in all places.","They departed, and went throughout the villages, preaching the Good News, and healing everywhere.","And going forth they were going through the several villages, proclaiming good news, and healing everywhere."
Luke 9:11,Luke9:11,"But the people, getting news of it, went after him: and he was pleased to see them, and gave them teaching about the kingdom of God, and made those well who were in need of it.","But the multitudes, perceiving it, followed him. He welcomed them, and spoke to them of God’s Kingdom, and he cured those who needed healing.","and the multitudes having known did follow him, and having received them, he was speaking to them concerning the reign of God, and those having need of service he cured."
Luke 10:9,Luke10:9,"And make well those in it who are ill and say to them, The kingdom of God is near to you.","Heal the sick who are therein, and tell them, ‘God’s Kingdom has come near to you.’","and heal the ailing in it, and say to them, The reign of God has come near to you."
Luke 13:12,Luke13:12,"And when Jesus saw her, he said to her, Woman, you are made free from your disease.","When Jesus saw her, he called her, and said to her,
“Woman, you are freed from your infirmity.”","and Jesus having seen her, did call her near, and said to her, 'Woman, you have been loosed from your infirmity;'"
Luke 13:13,Luke13:13,"And he put his hands on her, and she was made straight, and gave praise to God.","He laid his hands on her, and immediately she stood up straight, and glorified God.","and he laid on her his hands, and presently she was set upright, and was glorifying God."
Luke 13:14,Luke13:14,"And the ruler of the Synagogue was angry because Jesus had made her well on the Sabbath, and he said to the people, There are six days in which men may do work: so come on those days to be made well, and not on the Sabbath.","The ruler of the synagogue, being indignant because Jesus had healed on the Sabbath, said to the multitude, “There are six days in which men ought to work. Therefore come on those days and be healed, and not on the Sabbath day!”","And the chief of the synagogue answering -- much displeased that on the sabbath Jesus healed -- said to the multitude, 'Six days there are in which it is necessary for us to be working; in these, then, coming, be healed, and not on the sabbath-day.'"
Luke 13:32,Luke13:32,"And he said, Go and say to that fox, I send out evil spirits and do works of mercy today and tomorrow, and on the third day my work will be complete.","He said to them,
“Go and tell that fox, ‘Behold, I cast out demons and perform cures today and tomorrow, and the third day I complete my mission.","and he said to them, 'Having gone, say to this fox, Lo, I cast forth demons, and perfect cures to-day and to-morrow, and the thirdday I am being perfected;"
Luke 15:27,Luke15:27,"And he said to him, Your brother has come; and your father has had the young ox put to death because he has come back safely.","He said to him, ‘Your brother has come, and your father has killed the fattened calf, because he has received him back safe and healthy.’","and he said to him -- Your brother is arrived, and your father did kill the fatted calf, because in health he did receive him back."
Luke 17:14,Luke17:14,"And when he saw them he said, Go, and let the priests see you. And, while they were going, they were made clean.","When he saw them, he said to them,
“Go and show yourselves to the priests.” As they went, they were cleansed.","and having seen them, he said to them, 'Having gone on, show yourselves to the priests;' and it came to pass, in their going, they were cleansed,"
Luke 17:15,Luke17:15,"And one of them, when he saw that he was clean, turning back, gave praise to God in a loud voice;","One of them, when he saw that he was healed, turned back, glorifying God with a loud voice.","and one of them having seen that he was healed did turn back, with a loud voice glorifying God,"
Luke 17:17,Luke17:17,"And Jesus said, Were there not ten men who were made clean? where are the nine?","Jesus answered,
“Weren’t the ten cleansed? But where are the nine?","And Jesus answering said, 'Were not the ten cleansed, and the nine -- where?"
Luke 17:19,Luke17:19,"And he said to him, Get up, and go on your way; your faith has made you well.","Then he said to him,
“Get up, and go your way. Your faith has healed you.”","and he said to him, 'Having risen, be going on, your faith has saved you.'"
Luke 18:41,Luke18:41,"What would you have me do for you? And he said, Lord, that I may be able to see again.","“What do you want me to do?”
He said, “Lord, that I may see again.”","saying, 'What will you I shall do to you?' and he said, 'Sir, that I may receive sight.'"
Luke 18:42,Luke18:42,"And Jesus said, See again: your faith has made you well.","Jesus said to him,
“Receive your sight. Your faith has healed you.”","And Jesus said to him, 'Receive your sight; your faith has saved you;'"
Luke 18:43,Luke18:43,"And straight away he was able to see, and he went after him, giving glory to God; and all the people when they saw it gave praise to God.","Immediately he received his sight, and followed him, glorifying God. All the people, when they saw it, praised God.","and presently he did receive sight, and was following him, glorifying God; and all the people, having seen, did give praise to God."
Luke 24:31,Luke24:31,"And then their eyes were open, and they had knowledge of him, but he went from their view.","Their eyes were opened, and they recognized him, and he vanished out of their sight.","and their eyes were opened, and they recognized him, and he became unseen by them."
John 4:47,John4:47,"When it came to his ears that Jesus had come from Judaea into Galilee, he went to him and made a request that he would come down to his son, who was near to death, and make him well.","When he heard that Jesus had come out of Judea into Galilee, he went to him, and begged him that he would come down and heal his son, for he was at the point of death.","he, having heard that Jesus is come out of Judea to Galilee, went away unto him, and was asking him that he may come down and may heal his son, for he was about to die."
John 5:6,John5:6,"When Jesus saw him there on the floor it was clear to him that he had been now a long time in that condition, and so he said to the man, Is it your desire to get well?","When Jesus saw him lying there, and knew that he had been sick for a long time, he asked him,
“Do you want to be made well?”","him Jesus having seen lying, and having known that he is already a long time, he said to him, 'Do you wish to become whole?'"
John 5:8,John5:8,"Jesus said to him, Get up, take your bed and go.","Jesus said to him,
“Arise, take up your mat, and walk.”","Jesus said to him, 'Rise, take up your couch, and be walking;'"
John 5:9,John5:9,"And the man became well straight away, and took up his bed and went. Now that day was the Sabbath.","Immediately, the man was made well, and took up his mat and walked.
Now it was the Sabbath on that day.","and immediately the man became whole, and he took up his couch, and was walking, and it was a sabbath on that day,"
John 5:10,John5:10,"So the Jews said to the man who had been made well, It is the Sabbath; and it is against the law for you to take up your bed.","So the Jews said to him who was cured, “It is the Sabbath. It is not lawful for you to carry the mat.”","the Jews then said to him that has been healed, 'It is a sabbath; it is not lawful to you to take up the couch.'"
John 5:13,John5:13,"Now he who had been made well had no knowledge who it was, Jesus having gone away because of the number of people who were in that place.","But he who was healed didn’t know who it was, for Jesus had withdrawn, a crowd being in the place.","But he that was healed had not known who he is, for Jesus did move away, a multitude being in the place."
John 5:21,John5:21,"In the same way, as the Father gives life to the dead, even so the Son gives life to those to whom he is pleased to give it.","For as the Father raises the dead and gives them life, even so the Son also gives life to whom he desires.","'For, as the Father does raise the dead, and does make alive, so also the Son does make alive whom he wills;"
John 7:23,John7:23,"If a child is given circumcision on the Sabbath so that the law of Moses may not be broken, why are you angry with me because I made a man completely well on the Sabbath?","If a boy receives circumcision on the Sabbath, that the law of Moses may not be broken, are you angry with me, because I made a man completely healthy on the Sabbath?","if a man does receive circumcision on a sabbath that the law of Moses may not be broken, are you wroth with me that I made a man all whole on a sabbath?"
John 9:10,John9:10,"So they said to him, How then were your eyes made open?","They therefore were asking him, “How were your eyes opened?”","They said, therefore, to him, 'How were your eyes opened?'"
John 9:11,John9:11,"His answer was: The man who is named Jesus put earth mixed with water on my eyes, and said to me, Go and make yourself clean in Siloam: so I went away and, after washing, am now able to see.","He answered, “A man called Jesus made mud, anointed my eyes, and said to me,
‘Go to the pool of Siloam, and wash.’ So I went away and washed, and I received sight.”","he answered and said, 'A man called Jesus made clay, and rubbed my eyes, and said to me, Go away to the pool of Siloam, and wash; and having gone away and having washed, I received sight;'"
John 9:14,John9:14,Now the day on which the earth was mixed by Jesus and the man's eyes were made open was the Sabbath.,It was a Sabbath when Jesus made the mud and opened his eyes.,"and it was a sabbath when Jesus made the clay, and opened his eyes."
John 9:15,John9:15,"So the Pharisees put more questions to him about how his eyes had been made open. And he said to them, He put earth on my eyes, and I had a wash and am able to see.","Again therefore the Pharisees also asked him how he received his sight. He said to them, “He put mud on my eyes, I washed, and I see.”","Again, therefore, the Pharisees also were asking him how he received sight, and he said to them, 'Clay he did put upon my eyes, and I did wash -- and I see.'"
John 9:17,John9:17,"Again they said to the blind man, What have you to say about him for opening your eyes? And he said, He is a prophet.","Therefore they asked the blind man again, “What do you say about him, because he opened your eyes?”
He said, “He is a prophet.”","They said to the blind man again, 'You -- what do you say of him -- that he opened your eyes?'"
John 9:18,John9:18,"Now the Jews had no belief in the statement that he had been blind and was now able to see, till they sent for the father and mother of the man whose eyes had been made open,","The Jews therefore did not believe concerning him, that he had been blind, and had received his sight, until they called the parents of him who had received his sight,","and he said -- 'He is a prophet.' The Jews, therefore, did not believe concerning him that he was blind and did receive sight, till that they called the parents of him who received sight,"
John 9:21,John9:21,"But how it is he is now able to see, or who made his eyes open, we are not able to say: put the question to him; he is old enough to give an answer for himself.","but how he now sees, we don’t know; or who opened his eyes, we don’t know. He is of age. Ask him. He will speak for himself.”","and how he now sees, we have not known; or who opened his eyes, we have not known; himself is of age, ask him; he himself shall speak concerning himself.'"
John 9:25,John9:25,"He said in answer, I have no knowledge if he is a sinner or not, but one thing I am certain about; I was blind, and now I see.","He therefore answered, “I don’t know if he is a sinner. One thing I do know: that though I was blind, now I see.”","he answered, therefore, and said, 'If he be a sinner -- I have not known, one thing I have known, that, being blind, now I see.'"
John 9:26,John9:26,"Then they said to him, What did he do to you? how did he give you the use of your eyes?","They said to him again, “What did he do to you? How did he open your eyes?”","And they said to him again, 'What did he to you? how did he open your eyes?'"
John 9:30-32,John9:30-32,"The man said in answer, Why, here is a strange thing! You have no knowledge where he comes from though he gave me the use of my eyes.We have knowledge that God does not give ear to sinners, but if any man is a worshipper of God and does his pleasure, to him God's ears are open.In all the years nobody has ever before seen the eyes of a man blind from birth made open.","The man answered them, “How amazing! You don’t know where he comes from, yet he opened my eyes.
We know that God doesn’t listen to sinners, but if anyone is a worshiper of God, and does his will, he listens to him.
Since the world began it has never been heard of that anyone opened the eyes of someone born blind.","The man answered and said to them, 'Why, in this is a wonderful thing, that you have not known whence he is, and he opened my eyes!and we have known that God does not hear sinners, but, if any one may be a worshipper of God, and may do His will, him He does hear;from the age it was not heard, that any one did open eyes of one who has been born blind;"
John 9:39,John9:39,"And Jesus said, I came into this world to be a judge, so that those who do not see may see, and those who see may become blind.","Jesus said,
“I came into this world for judgment, that those who don’t see may see; and that those who see may become blind.”","And Jesus said, 'For judgment I to this world did come, that those not seeing may see, and those seeing may become blind.'"
John 12:40,John12:40,"He has made their eyes blind, and their hearts hard; for fear that they might see with their eyes and get knowledge with their hearts, and be changed, and I might make them well.","“He has blinded their eyes and he hardened their heart,
lest they should see with their eyes,
and perceive with their heart,
and would turn,
and I would heal them.”","'He has blinded their eyes, and hardened their heart, that they might not see with the eyes, and understand with the heart, and turn back, and I might heal them;'"
Acts 3:7,Acts3:7,"And he took him by his right hand, lifting him up; and straight away his feet and the bones of his legs became strong,","He took him by the right hand, and raised him up. Immediately his feet and his ankle bones received strength.","And having seized him by the right hand, he raised him up, and presently his feet and ankles were strengthened,"
Acts 3:16,Acts3:16,"And his name, through faith in his name, has made this man strong, whom you see and have knowledge of: yes, the faith which is through him has made him well, before you all.","By faith in his name, his name has made this man strong, whom you see and know. Yes, the faith which is through him has given him this perfect soundness in the presence of you all.","and on the faith of his name, this one whom you see and have known, his name made strong, even the faith that is through him did give to him this perfect soundness before you all."
Acts 4:10,Acts4:10,"Take note, all of you, and all the people of Israel, that in the name of Jesus Christ of Nazareth, whom you put to death on the cross, whom God gave back from the dead, even through him is this man now before you completely well.","be it known to you all, and to all the people of Israel, that in the name of Jesus Christ of Nazareth, whom you crucified, whom God raised from the dead, in him does this man stand here before you whole.","be it known to all of you, and to all the people of Israel, that in the name of Jesus Christ of Nazareth, whom you did crucify, whom God did raise out of the dead, in him has this one stood by before you whole."
Acts 4:14,Acts4:14,"And, seeing that the man who had been made well was there with them, they were not able to say anything against it.","Seeing the man who was healed standing with them, they could say nothing against it.","and seeing the man standing with them who has been healed, they had nothing to say against it,"
Acts 4:22,Acts4:22,For the man on whom this act of power was done was more than forty years old.,For the man on whom this miracle of healing was performed was more than forty years old.,for above forty years of age was the man upon whom had been done this sign of the healing.
Acts 5:16,Acts5:16,"And numbers of people came together from the towns round about Jerusalem, with those who were ill and those who were troubled with unclean spirits: and they were all made well.","The multitude also came together from the cities around Jerusalem, bringing sick people, and those who were tormented by unclean spirits: and they were all healed.","and there were coming together also the people of the cities round about to Jerusalem, bearing ailing persons, and those harassed by unclean spirits -- who were all healed."
Acts 8:7,Acts8:7,"For unclean spirits came out from those who had them, crying with a loud voice; and a number of those who were ill and broken in body were made well.","For unclean spirits came out of many of those who had them. They came out, crying with a loud voice. Many who had been paralyzed and lame were healed.","for unclean spirits came forth from many who were possessed, crying with a loud voice, and many who have been paralytic and lame were healed,"
Acts 9:12,Acts9:12,"And he has seen a man named Ananias coming in and putting his hands on him, so that he may be able to see.","and in a vision he has seen a man named Ananias coming in, and laying his hands on him, that he might receive his sight.”","and he saw in a vision a man, by name Ananias, coming in, and putting a hand on him, that he may see again.'"
Acts 9:17,Acts9:17,"And Ananias went out and came to the house, and putting his hands on him, said, Brother Saul, the Lord Jesus, whom you saw when you were on your journey, has sent me, so that you may be able to see, and be full of the Holy Spirit.","Ananias departed, and entered into the house. Laying his hands on him, he said, “Brother Saul, the Lord, who appeared to you on the road by which you came, has sent me, that you may receive your sight, and be filled with the Holy Spirit.”","And Ananias went away, and did enter into the house, and having put upon him his hands, said, 'Saul, brother, the Lord has sent me -- Jesus who did appear to you in the way in which you were coming -- that you may see again, and may be filled with the Holy Spirit.'"
Acts 9:34,Acts9:34,"And Peter said to him, Aeneas, Jesus Christ makes you well: get up and make your bed. And straight away he got up.","Peter said to him, “Aeneas, Jesus Christ heals you. Get up and make your bed!” Immediately he arose.","and Peter said to him, 'Aeneas, heal you does Jesus the Christ; arise and spread for yourself;' and immediately he rose,"
Acts 10:15,Acts10:15,"And the voice came to him a second time, What God has made clean, do not you make common.","A voice came to him again the second time,
“What God has cleansed, you must not call unclean.”","and there is a voice again a second time unto him: 'What God did cleanse, you, declare not you common;'"
Acts 10:38,Acts10:38,"About Jesus of Nazareth, how God gave the Holy Spirit to him, with power: and how he went about doing good and making well all who were troubled by evil spirits, for God was with him.","even Jesus of Nazareth, how God anointed him with the Holy Spirit and with power, who went about doing good and healing all who were oppressed by the devil, for God was with him.","Jesus who is from Nazareth -- how God did anoint him with the Holy Spirit and power; who went through, doing good, and healing all those oppressed by the devil, because God was with him;"
Acts 11:9,Acts11:9,"But the voice, coming a second time from heaven, said, What God has made clean, do not you make common.","But a voice answered me the second time out of heaven,
‘What God has cleansed, don’t you call unclean.’","and a voice did answer me a second time out of the heaven, What God did cleanse, you -- declare not you common."
Acts 14:9,Acts14:9,"This man was giving ear to the preaching of Paul, who, looking at him, and seeing that he had faith to be made well,","He was listening to Paul speaking, who, fastening eyes on him, and seeing that he had faith to be made whole,","this one was hearing Paul speaking, who, having stedfastly beheld him, and having seen that he has faith to be saved,"
Acts 27:20,Acts27:20,"And as we had not seen the sun or stars for a long time, and a great storm was on us, all hope of salvation was gone.","When neither sun nor stars shone on us for many days, and no small storm pressed on us, all hope that we would be saved was now taken away.","and neither sun nor stars appearing for more days, and not a little tempest lying upon us, thenceforth all hope was taken away of our being saved."
Acts 27:34,Acts27:34,So I make request to you to take food; for this is for your salvation: not a hair from the head of any of you will come to destruction.,"Therefore I beg you to take some food, for this is for your safety; for not a hair will perish from any of your heads.”","therefore I call upon you to take nourishment, for this is for your safety, for of not one of you shall a hair from the head fall;'"
Acts 28:8,Acts28:8,"And the father of Publius was ill, with a disease of the stomach; to whom Paul went, and put his hands on him, with prayer, and made him well.","The father of Publius lay sick of fever and dysentery. Paul entered in to him, prayed, and laying his hands on him, healed him.","and it came to pass, the father of Publius with feverish heats and dysentery pressed, was laid, unto whom Paul having entered, and having prayed, having laid his hands on him, healed him;"
1 Cor 15:15-16,1Cor 15:15-16,"Yes, and we are seen to be false witnesses of God; because we gave witness of God that by his power Christ came again from the dead: which is not true if there is no coming back from the dead.For if it is not possible for the dead to come to life again, then Christ has not come to life again:","Yes, we are also found false witnesses of God, because we testified about God that he raised up Christ, whom he didn’t raise up, if it is so that the dead are not raised.
For if the dead aren’t raised, neither has Christ been raised.","and we also are found false witnesses of God, because we did testify of God that He raised up the Christ, whom He did not raise if then dead persons do not rise;for if dead persons do not rise, neither has Christ risen,"
Tit 1:9,Tit1:9,"Keeping to the true word of the teaching, so that he may be able to give comfort by right teaching and overcome the arguments of the doubters.","holding to the faithful word which is according to the teaching, that he may be able to exhort in the sound doctrine, and to convict those who contradict him.","holding -- according to the teaching -- to the stedfast word, that he may be able also to exhort in the sound teaching, and the gainsayers to convict;"
Tit 1:13,Tit1:13,"This witness is true. So say sharp words to them so that they may come to the right faith,","This testimony is true. For this cause, reprove them sharply, that they may be sound in the faith,","this testimony is true; for which cause convict them sharply, that they may be sound in the faith,"
Tit 2:2,Tit2:2,"That old men are to be simple in their tastes, serious, wise, true in faith, in love, and of a quiet mind.","that older men should be temperate, sensible, sober minded, sound in faith, in love, and in perseverance:","aged men to be temperate, grave, sober, sound in the faith, in the love, in the endurance;"
Tit 2:8,Tit2:8,"Saying true and right words, against which no protest may be made, so that he who is not on our side may be put to shame, unable to say any evil of us.","and soundness of speech that can’t be condemned; that he who opposes you may be ashamed, having no evil thing to say about us.","discourse sound, irreprehensible, that he who is of the contrary part may be ashamed, having nothing evil to say concerning you."
Heb 12:13,Heb12:13,"And make straight roads for your feet, so that the feeble may not be turned out of the way, but may be made strong.","and make straight paths for your feet, so what is lame may not be dislocated, but rather be healed.","and straight paths make for your feet, that that which is lame may not be turned aside, but rather be healed;"
Jas 5:15,Jas5:15,"And by the prayer of faith the man who is ill will be made well, and he will be lifted up by the Lord, and for any sin which he has done he will have forgiveness.","and the prayer of faith will heal him who is sick, and the Lord will raise him up. If he has committed sins, he will be forgiven.","and the prayer of the faith shall save the distressed one, and the Lord shall raise him up, and if sins he may have committed, they shall be forgiven to him."
Jas 5:16,Jas5:16,"So then, make a statement of your sins to one another, and say prayers for one another so that you may be made well. The prayer of a good man is full of power in its working.","Confess your offenses to one another, and pray for one another, that you may be healed. The insistent prayer of a righteous person is powerfully effective.","Be confessing to one another the trespasses, and be praying for one another, that you may be healed; very strong is a working supplication of a righteous man;"
1 Pet 2:24,1Pet2:24,"He took our sins on himself, giving his body to be nailed on the tree, so that we, being dead to sin, might have a new life in righteousness, and by his wounds we have been made well.","He himself bore our sins in his body on the tree, that we, having died to sins, might live to righteousness; by whose stripes you were healed.","who our sins himself did bear in his body, upon the tree, that to the sins having died, to the righteousness we may live; by whose stripes you were healed,"
1 Pet 3 John 2,1Pet 3 John 2,,,
Rev 13:3,Rev13:3,And I saw one of his heads as if it had been given a death-wound; and his death-wound was made well: and all the earth was wondering at the beast.,"One of his heads looked like it had been wounded fatally. His fatal wound was healed, and the whole earth marveled at the beast.","And I saw one of its heads as slain to death, and its deadly stroke was healed, and all the earth did wonder after the beast,"
